avg_rules_per_second,avg_time_per_rule,avg_wall_time,parallel_rules,std_rules_per_second,std_time_per_rule,std_wall_time,total_rules,total_walkers,walkers_per_noise
6.6497489407264085,0.15038161724805832,6.015264689922333,1.0,0.0,0.0,0.0,40.0,11000.0,1000.0
5.003600261677588,0.1998560931533575,7.9942437261343,2.0,0.0,0.0,0.0,40.0,11000.0,1000.0
5.472919885090876,0.18271782174706458,7.308712869882584,5.0,0.0,0.0,0.0,40.0,11000.0,1000.0
5.134374560448764,0.19476568922400475,7.79062756896019,10.0,0.0,0.0,0.0,40.0,11000.0,1000.0
4.363077667937899,0.22919601164758205,9.167840465903282,20.0,0.0,0.0,0.0,40.0,11000.0,1000.0
3.1644742291378747,0.31600826159119605,12.640330463647842,40.0,0.0,0.0,0.0,40.0,11000.0,1000.0
1.0728561512072061,0.9320914074778557,37.28365629911423,1.0,0.0,0.0,0.0,40.0,110000.0,10000.0
0.9156850842663928,1.0920785073190928,43.68314029276371,2.0,0.0,0.0,0.0,40.0,110000.0,10000.0
0.8765069982629531,1.1408922027796506,45.63568811118603,5.0,0.0,0.0,0.0,40.0,110000.0,10000.0
0.865623145825134,1.1552371315658092,46.20948526263237,10.0,0.0,0.0,0.0,40.0,110000.0,10000.0
0.8317273776028782,1.2023170415312052,48.09268166124821,20.0,0.0,0.0,0.0,40.0,110000.0,10000.0
0.8206421438310052,1.2185579396784305,48.74231758713722,40.0,0.0,0.0,0.0,40.0,110000.0,10000.0
