number_of_rules,n_walkers,avg_total_time_s,std_total_time_s,avg_time_per_rule_s,successful_runs,total_runs
1,100,1.6433236569166183,0.1500876291992052,1.6433236569166183,5,5
2,100,2.4707334235310556,0.09226039317244819,1.2353667117655278,5,5
3,100,3.448126769065857,0.04115833534219862,1.149375589688619,5,5
4,100,4.713386926054954,0.10472962494244356,1.1783467315137386,5,5
5,100,6.530544486641884,0.09866681995016786,1.3061088973283768,5,5
6,100,8.368019573390484,0.12070154276307103,1.394669928898414,5,5
7,100,10.688128155469894,0.4016466451855128,1.5268754507814133,5,5
8,100,12.869995118677616,0.3114915875576185,1.608749389834702,5,5
9,100,15.573975099623203,0.139906231716711,1.7304416777359115,5,5
10,100,18.917827543616294,0.2902892566454958,1.8917827543616295,5,5
1,1000,1.6243662342429162,0.011150668010605758,1.6243662342429162,5,5
2,1000,2.466625525057316,0.018468995036031926,1.233312762528658,5,5
3,1000,4.466967830061913,0.02226333816746799,1.4889892766873043,5,5
4,1000,7.427008481323719,0.14147287403639838,1.8567521203309298,5,5
5,1000,10.712630863487721,0.07432886789230732,2.1425261726975444,5,5
6,1000,14.201407846808433,0.28254011607111246,2.3669013078014056,5,5
7,1000,18.8980869948864,0.30701133821657367,2.6997267135552,5,5
8,1000,23.71496499180794,0.15905739276171088,2.9643706239759924,5,5
9,1000,28.74424468129873,0.29638049700883295,3.193804964588748,5,5
10,1000,34.919656144082545,0.3253374172075577,3.4919656144082545,5,5
1,5000,1.5925195068120956,0.012255896586527534,1.5925195068120956,5,5
2,5000,4.815427169203758,0.029157076889909712,2.407713584601879,5,5
3,5000,11.101813180744648,0.0773824121154695,3.7006043935815494,5,5
4,5000,18.733625966310502,0.06658903008762748,4.6834064915776255,5,5
5,5000,28.121884033083916,0.10795032964430738,5.624376806616783,5,5
6,5000,38.67444228231907,0.1682882118590203,6.445740380386511,5,5
7,5000,51.91194170862436,0.08367266917118203,7.415991672660623,5,5
8,5000,66.99604302048684,0.16429606587085702,8.374505377560855,5,5
9,5000,82.59748204648494,0.39656525409045223,9.177498005164994,5,5
10,5000,101.66508660763502,0.4254848802835654,10.166508660763501,5,5
1,10000,2.2692243039608,0.023505978744643833,2.2692243039608,5,5
2,10000,7.878843134641647,0.015372049372318631,3.9394215673208235,5,5
3,10000,18.9927190259099,0.020964354971286358,6.330906341969967,5,5
4,10000,32.70323179364205,0.07981624654510393,8.175807948410512,5,5
5,10000,49.939658211171626,0.17582267915605218,9.987931642234326,5,5
6,10000,68.91082257032394,0.12576119840633818,11.485137095053991,5,5
7,10000,93.16129895597696,0.20808255851411192,13.308756993710995,5,5
8,10000,121.50438912212849,0.4641393647947235,15.18804864026606,5,5
9,10000,150.08025978207587,0.4533167353411433,16.675584420230653,5,5
10,10000,184.53384218215942,0.3113832326444946,18.45338421821594,5,5
