number_of_rules,n_walkers,num_processes,avg_total_time_s,std_total_time_s,avg_time_per_rule_s,successful_runs,total_runs
6,10000,5,19.174435126781464,2.324266543136409,3.1957391877969106,5,5
5,10000,5,15.659778951108455,2.0475600186376375,3.1319557902216912,5,5
4,10000,5,12.600673811137677,1.0641366180591096,3.150168452784419,5,5
3,10000,5,11.45334659665823,1.9893350449207072,3.8177821988860767,5,5
2,10000,5,10.564105166494846,0.7366386849889618,5.282052583247423,5,5
1,10000,5,6.596755340695381,1.8461656975126097,6.596755340695381,5,5
6,10000,4,20.695945642888546,1.2638216785431118,3.449324273814758,5,5
5,10000,4,17.11156974285841,3.144851556069699,3.422313948571682,5,5
4,10000,4,14.480688877403736,1.0704872200576405,3.620172219350934,5,5
3,10000,4,11.541812653839589,1.1810019741843205,3.8472708846131964,5,5
2,10000,4,10.471255265176296,0.9707813430021753,5.235627632588148,5,5
1,10000,4,8.934448584914207,0.08704202421541002,8.934448584914207,5,5
6,10000,3,20.1212370544672,2.1592471303025924,3.353539509077867,5,5
5,10000,3,19.49252156019211,1.131015815449031,3.8985043120384217,5,5
4,10000,3,15.022643718123437,4.028111513927212,3.755660929530859,5,5
3,10000,3,12.35804499834776,0.24912338316120936,4.119348332782587,5,5
2,10000,3,8.482277059555054,1.8880467144747197,4.241138529777527,5,5
1,10000,3,8.788167628645898,0.5113376890113525,8.788167628645898,5,5
6,10000,2,21.827513991296293,1.4482644507583,3.6379189985493823,5,5
5,10000,2,22.797896242141725,2.0335896270161853,4.559579248428345,5,5
4,10000,2,13.612834529578686,3.704792131907347,3.4032086323946715,5,5
3,10000,2,16.1449309065938,0.5457931908830965,5.381643635531266,5,5
2,10000,2,9.264446139335632,2.387920219385834,4.632223069667816,5,5
1,10000,2,8.80056899189949,0.26537794825281086,8.80056899189949,5,5
6,10000,1,27.325169070065023,6.4958383358194265,4.554194845010837,5,5
5,10000,1,22.120118105411528,6.971444939823524,4.424023621082306,5,5
4,10000,1,15.591992385685444,5.682133437773508,3.897998096421361,5,5
3,10000,1,16.620509858429433,0.40826100924129194,5.540169952809811,5,5
2,10000,1,8.365812534093857,3.103987119335414,4.182906267046929,5,5
1,10000,1,3.9849819481372832,2.0887002014936633,3.9849819481372832,5,5
6,1000,5,12.19550729840994,0.7439558769969594,2.03258454973499,5,5
5,1000,5,6.122659602761269,1.4032878831087472,1.2245319205522538,5,5
4,1000,5,8.408855052292347,0.4107205462403694,2.102213763073087,5,5
3,1000,5,5.420598509907722,0.11839237583473924,1.8068661699692408,5,5
2,1000,5,4.760961413383484,0.4826184576241937,2.380480706691742,5,5
1,1000,5,4.897765175998211,1.2358038828200735,4.897765175998211,5,5
6,1000,4,10.811456272006035,1.0649194609422727,1.8019093786676725,5,5
5,1000,4,8.65546556264162,2.8833058350237826,1.731093112528324,5,5
4,1000,4,7.366316694021225,0.983073102882451,1.8415791735053062,5,5
3,1000,4,6.30329103320837,1.268694916918446,2.1010970110694567,5,5
2,1000,4,4.671665035188198,0.9170696564865644,2.335832517594099,5,5
1,1000,4,4.6672101184725765,1.2812230861678793,4.6672101184725765,5,5
6,1000,3,9.535103368759156,1.2596876398089356,1.5891838947931927,5,5
5,1000,3,9.688441844284535,3.152563024044145,1.9376883688569069,5,5
4,1000,3,8.547292983531952,1.5668710923001827,2.136823245882988,5,5
3,1000,3,4.854615466296673,0.800629824954708,1.6182051554322243,5,5
2,1000,3,4.886417320370674,1.3229119667676916,2.443208660185337,5,5
1,1000,3,4.049967975914479,0.2590530629203262,4.049967975914479,5,5
6,1000,2,10.961077578365803,4.5420282342272005,1.8268462630609672,5,5
5,1000,2,11.204581448435784,2.255486180890452,2.240916289687157,5,5
4,1000,2,8.179850879311562,1.9628630303722403,2.0449627198278906,5,5
3,1000,2,7.888848806917667,1.2641588242241673,2.6296162689725557,5,5
2,1000,2,5.680399943888188,1.2320341262876897,2.840199971944094,5,5
1,1000,2,5.06903976649046,1.0126415920044873,5.06903976649046,5,5
6,1000,1,19.72884490340948,6.407794751035191,3.2881408172349134,5,5
5,1000,1,11.027357168495655,4.548186271714305,2.205471433699131,5,5
4,1000,1,12.475404579937457,3.6431381955947586,3.1188511449843643,5,5
3,1000,1,7.962163802981377,3.6524250951735007,2.6540546009937924,5,5
2,1000,1,7.985841734707355,0.10634571849759734,3.9929208673536776,5,5
1,1000,1,3.8260802790522574,0.41241920173486074,3.8260802790522574,5,5
