number_of_rules,n_walkers,num_streams,avg_total_time_s,std_total_time_s,avg_time_per_rule_s,successful_runs,total_runs
10,10000,1,186.18519672751427,0.8568079272569842,18.618519672751425,5,5
1,10000,2,2.3571933418512345,0.10792331485627626,2.3571933418512345,5,5
2,10000,2,9.728510247170925,0.18221385284432914,4.864255123585463,5,5
3,10000,2,21.915505553781987,0.3401876203101611,7.305168517927329,5,5
4,10000,2,36.49190655201674,0.20584517320348697,9.122976638004184,5,5
5,10000,2,55.07781559228897,0.25409716083581463,11.015563118457795,5,5
6,10000,2,76.03948760181666,0.429685787336032,12.67324793363611,5,5
7,10000,2,102.80196569412946,0.9410701851146124,14.685995099161351,5,5
8,10000,2,133.37185330837966,2.5118274396590228,16.671481663547457,5,5
9,10000,2,163.58651268780233,1.255347503810103,18.17627918753359,5,5
10,10000,2,199.63664679974318,0.6352434203007642,19.96366467997432,5,5
1,10000,3,2.359166646003723,0.1020253393957773,2.359166646003723,5,5
2,10000,3,9.815904089808464,0.12908892843043937,4.907952044904232,5,5
3,10000,3,24.27468549609184,0.19893048954095055,8.091561832030614,5,5
4,10000,3,40.24637653082609,0.2763104457300346,10.061594132706523,5,5
5,10000,3,60.82541355341673,0.28450108080703235,12.165082710683347,5,5
6,10000,3,82.69675612002611,0.522381603842325,13.782792686671018,5,5
7,10000,3,109.93374979197979,0.6646361977604783,15.704821398854255,5,5
8,10000,3,141.67073105871677,0.8323534897301279,17.708841382339596,5,5
9,10000,3,174.47804795652627,0.9477011273679601,19.386449772947362,5,5
10,10000,3,212.35222092866897,1.073057442156283,21.2352220928669,5,5
1,10000,4,2.3892831280827522,0.1302025029619404,2.3892831280827522,5,5
2,10000,4,9.662800140678883,0.13464363275490696,4.831400070339441,5,5
3,10000,4,24.43072470575571,0.22987390413889505,8.143574901918571,5,5
4,10000,4,43.864100804924966,0.1824973125630174,10.966025201231242,5,5
5,10000,4,65.26683460325003,0.2752645089284694,13.053366920650006,5,5
6,10000,4,88.8251437291503,0.39555061293687666,14.80419062152505,5,5
7,10000,4,118.04028241783381,0.9868037827390193,16.86289748826197,5,5
8,10000,4,152.14736190587283,2.2236760007369445,19.018420238234103,5,5
9,10000,4,187.43565464913846,1.723047128409928,20.82618384990427,5,5
10,10000,4,226.17621978521348,0.8031907694203261,22.61762197852135,5,5
1,10000,5,2.402754005789757,0.11437242391996774,2.402754005789757,5,5
2,10000,5,9.791236896812915,0.1395420916592821,4.8956184484064575,5,5
3,10000,5,24.877677181363104,0.11910678459711717,8.292559060454368,5,5
4,10000,5,44.54075047820807,0.45744193230543556,11.135187619552017,5,5
5,10000,5,70.68251848369837,0.412636913623561,14.136503696739675,5,5
6,10000,5,95.47902480512857,1.1415537891229164,15.913170800854763,5,5
7,10000,5,126.78409104347229,1.1468793004754856,18.112013006210326,5,5
8,10000,5,160.233413977921,0.8276929633235772,20.029176747240125,5,5
9,10000,5,196.90137066692114,1.645642362548054,21.87793007410235,5,5
10,10000,5,238.456645745039,1.9661184142019108,23.8456645745039,5,5
