number_of_rules,n_walkers,num_streams,avg_total_time_s,std_total_time_s,avg_time_per_rule_s,successful_runs,total_runs
1,100,1,1.6969459399580955,0.19605348721477608,1.6969459399580955,5,5
2,100,1,2.427561157941818,0.09048926182194336,1.213780578970909,5,5
3,100,1,3.3713147431612014,0.028941311331274543,1.1237715810537339,5,5
4,100,1,4.608210504055023,0.06898794949051072,1.1520526260137558,5,5
5,100,1,6.433620834350586,0.11566835082752547,1.2867241668701173,5,5
6,100,1,8.329950417578221,0.06981969069956509,1.3883250695963703,5,5
7,100,1,10.57543071359396,0.2093867580008584,1.5107758162277085,5,5
8,100,1,12.718676699697971,0.19801083885714355,1.5898345874622464,5,5
9,100,1,15.059152795374393,0.564405876449523,1.6732391994860436,5,5
10,100,1,18.767404970526695,0.5258584786245402,1.8767404970526695,5,5
1,100,2,1.5640357419848443,0.016117313760103814,1.5640357419848443,5,5
2,100,2,4.097019943594932,0.03615384479285903,2.048509971797466,5,5
3,100,2,6.096947875618935,0.03907089166532672,2.032315958539645,5,5
4,100,2,8.617448054254055,0.1584932301065853,2.1543620135635138,5,5
5,100,2,11.493166825175285,0.39949963090393664,2.298633365035057,5,5
6,100,2,15.257191009819508,0.2061518152498483,2.5428651683032513,5,5
7,100,2,19.365665470063686,0.4154041473647176,2.7665236385805265,5,5
8,100,2,23.582880564033985,0.3095267376621953,2.947860070504248,5,5
9,100,2,28.961954338848592,0.595604532857563,3.2179949265387324,5,5
10,100,2,34.07413409054279,0.44973830993763303,3.4074134090542794,5,5
1,100,3,1.5757733553647995,0.022652641277952842,1.5757733553647995,5,5
2,100,3,4.147868110239505,0.06078419402237967,2.0739340551197527,5,5
3,100,3,8.935467107594013,0.20157294315631263,2.978489035864671,5,5
4,100,3,12.52337067425251,0.09689562243129106,3.1308426685631274,5,5
5,100,3,17.8585375636816,0.523848613386797,3.57170751273632,5,5
6,100,3,23.082076750695705,0.5079198223806601,3.8470127917826176,5,5
7,100,3,28.47354374676943,0.47122925422882495,4.067649106681347,5,5
8,100,3,35.39816063791513,0.28143468438421776,4.424770079739392,5,5
9,100,3,42.18838595300913,0.3652713969769836,4.687598439223237,5,5
10,100,3,51.01025167703629,0.3580562359229073,5.101025167703629,5,5
1,100,4,1.5756682023406028,0.014223709967146298,1.5756682023406028,5,5
2,100,4,4.068014624714851,0.044758685884793405,2.0340073123574256,5,5
3,100,4,9.028714670240879,0.11872978541297302,3.0095715567469594,5,5
4,100,4,17.053466783463954,0.15188466277665894,4.263366695865988,5,5
5,100,4,23.17480740249157,0.3375442545201528,4.634961480498314,5,5
6,100,4,30.14918670654297,0.2572851316685064,5.024864451090495,5,5
7,100,4,38.35706473886967,0.774294763823562,5.479580676981381,5,5
8,100,4,47.06642888337374,0.5152685695524262,5.883303610421717,5,5
9,100,4,56.95405834466219,0.49063620708735667,6.3282287049624655,5,5
10,100,4,69.07904179096222,0.9078997441041703,6.907904179096223,5,5
1,100,5,1.607883708178997,0.01670029828278899,1.607883708178997,5,5
2,100,5,4.236230480670929,0.04382254160260923,2.1181152403354644,5,5
3,100,5,9.11305619776249,0.14663397237878448,3.0376853992541633,5,5
4,100,5,17.50271511375904,0.9487476397099955,4.37567877843976,5,5
5,100,5,29.027235998213293,0.5902729600472856,5.805447199642659,5,5
6,100,5,37.595056012272835,0.6490772196566373,6.265842668712139,5,5
7,100,5,47.64042390882969,0.6420332457577224,6.805774844118527,5,5
8,100,5,60.46209694743156,1.7312114317978162,7.557762118428945,5,5
9,100,5,71.51827348619699,0.7775230969854264,7.946474831799666,5,5
10,100,5,85.22398080378771,1.1002917167494428,8.522398080378771,5,5
1,1000,1,1.7070100486278534,0.10881196710272927,1.7070100486278534,5,5
2,1000,1,2.5203134447336195,0.12623204554537215,1.2601567223668098,5,5
3,1000,1,4.589832206070423,0.05197706554739638,1.529944068690141,5,5
4,1000,1,7.476212993264198,0.11804347530161391,1.8690532483160496,5,5
5,1000,1,10.815365485846996,0.04691234072508516,2.1630730971693994,5,5
6,1000,1,14.58401648402214,0.16124207533281554,2.43066941400369,5,5
7,1000,1,19.12452493160963,0.13522329106565642,2.7320749902299473,5,5
8,1000,1,23.93875085413456,0.28837086486467606,2.99234385676682,5,5
9,1000,1,29.153180499374866,0.18264241463890074,3.2392422777083185,5,5
10,1000,1,35.08486859947443,0.17674611630315992,3.5084868599474435,5,5
1,1000,2,1.6029531210660934,0.014276545982220872,1.6029531210660934,5,5
2,1000,2,4.21974726319313,0.0927625660785774,2.109873631596565,5,5
3,1000,2,7.719223074615002,0.3653171853782892,2.5730743582050004,5,5
4,1000,2,11.764042553305625,0.23365825718063551,2.9410106383264063,5,5
5,1000,2,16.323144344985486,0.40771464104149713,3.2646288689970975,5,5
6,1000,2,21.760423681139947,0.30921730097919403,3.626737280189991,5,5
7,1000,2,28.229060430824756,0.6504653187591672,4.032722918689251,5,5
8,1000,2,35.05773760527372,0.2628776332295304,4.382217200659215,5,5
9,1000,2,43.008142568171024,0.9321103676201956,4.778682507574558,5,5
10,1000,2,50.628600566089155,0.5244827796396028,5.0628600566089155,5,5
1,1000,3,1.6085148379206657,0.012384867141129931,1.6085148379206657,5,5
2,1000,3,4.201510815322399,0.07200890307946366,2.1007554076611994,5,5
3,1000,3,10.082576598227025,0.2581405342350223,3.360858866075675,5,5
4,1000,3,16.050088140368462,0.4045316903253854,4.012522035092116,5,5
5,1000,3,22.81462154388428,0.47386891111654406,4.562924308776855,5,5
6,1000,3,29.328222981095315,0.4037500091264586,4.888037163515886,5,5
7,1000,3,37.571707271039486,0.48056262464120986,5.367386753005641,5,5
8,1000,3,46.86234638392925,0.5345291548834524,5.857793297991156,5,5
9,1000,3,56.32269770503044,0.3707461799018184,6.258077522781161,5,5
10,1000,3,67.60792520046235,1.2949829134040938,6.760792520046235,5,5
1,1000,4,1.5874366998672484,0.009398290802917743,1.5874366998672484,5,5
2,1000,4,4.276710672676563,0.1068907136362159,2.1383553363382815,5,5
3,1000,4,10.075814010202885,0.06988391722638032,3.358604670067628,5,5
4,1000,4,19.989681661128998,0.49625090535011596,4.9974204152822495,5,5
5,1000,4,28.24813245534897,0.6739313220142957,5.649626491069794,5,5
6,1000,4,36.692344538867474,0.3765273816674411,6.115390756477912,5,5
7,1000,4,46.936212024092676,0.5479159163997971,6.705173146298954,5,5
8,1000,4,58.602137149870394,0.37889132711409773,7.325267143733799,5,5
9,1000,4,69.87566424161196,0.6675405718663557,7.76396269351244,5,5
10,1000,4,83.15251778960229,1.0953098180643306,8.315251778960228,5,5
1,1000,5,1.6208096727728845,0.02423919687666253,1.6208096727728845,5,5
2,1000,5,4.485749579966068,0.23216364693499575,2.242874789983034,5,5
3,1000,5,10.454022227227687,0.22538294391744318,3.4846740757425625,5,5
4,1000,5,20.101502406597138,0.25108847828324654,5.0253756016492845,5,5
5,1000,5,34.12790061980486,0.8783140724521823,6.825580123960973,5,5
6,1000,5,44.26818348765373,0.5074087623812138,7.378030581275621,5,5
7,1000,5,56.945379772782324,0.4962726622492978,8.135054253254618,5,5
8,1000,5,69.40084998905658,1.4110794689352721,8.675106248632073,5,5
9,1000,5,84.77283466905355,1.3930609913648733,9.419203852117061,5,5
10,1000,5,100.78757751584052,0.6624844259251422,10.078757751584053,5,5
1,5000,1,1.6680238172411919,0.07297802255986974,1.6680238172411919,5,5
2,5000,1,4.998502300679684,0.09770832745894421,2.499251150339842,5,5
3,5000,1,11.292471411824227,0.03944805188342188,3.764157137274742,5,5
4,5000,1,18.9322772487998,0.048691121310057484,4.73306931219995,5,5
5,5000,1,28.41502528786659,0.14271673877441493,5.683005057573318,5,5
6,5000,1,39.1534110173583,0.15516210168535974,6.525568502893051,5,5
7,5000,1,52.000869151949885,0.34098959567631837,7.428695593135698,5,5
8,5000,1,67.20875826627017,0.11645750484113669,8.40109478328377,5,5
9,5000,1,82.95072910487652,0.4378340738909995,9.216747678319614,5,5
10,5000,1,102.36759808659554,0.726172317621343,10.236759808659553,5,5
1,5000,2,1.6478788048028945,0.036754253205443434,1.6478788048028945,5,5
2,5000,2,6.693280038237572,0.08397611009183321,3.346640019118786,5,5
3,5000,2,13.85358199775219,0.1109686470046637,4.617860665917397,5,5
4,5000,2,22.565658812224864,0.17295892642263605,5.641414703056216,5,5
5,5000,2,33.65248323082924,0.5517194035062523,6.730496646165848,5,5
6,5000,2,45.5879248842597,0.3060718349269215,7.59798748070995,5,5
7,5000,2,60.15202905535698,0.3480616904121047,8.59314700790814,5,5
8,5000,2,77.00310103297234,0.4719526327566784,9.625387629121542,5,5
9,5000,2,96.10599428713321,0.5088109476467697,10.678443809681468,5,5
10,5000,2,115.90200271457434,0.6006011597927724,11.590200271457434,5,5
1,5000,3,1.7195302307605744,0.10106231501060112,1.7195302307605744,5,5
2,5000,3,6.67521329075098,0.057019773149121496,3.33760664537549,5,5
3,5000,3,16.513711750507355,0.14964359259154536,5.504570583502452,5,5
4,5000,3,26.89058895856142,0.5064321579726992,6.722647239640355,5,5
5,5000,3,39.405936422944066,0.7377618871813966,7.881187284588814,5,5
6,5000,3,52.50264274030924,0.6933371963096564,8.750440456718207,5,5
7,5000,3,69.95994011759758,0.7464746463887661,9.994277159656798,5,5
8,5000,3,88.06103275418282,0.7259386192333979,11.007629094272852,5,5
9,5000,3,108.20383936464786,0.6243780558481031,12.022648818294208,5,5
10,5000,3,130.9725862070918,0.7288010460477338,13.09725862070918,5,5
1,5000,4,1.6324946627020835,0.03992913199106898,1.6324946627020835,5,5
2,5000,4,6.667988961935043,0.08996753898593988,3.3339944809675215,5,5
3,5000,4,16.517458678781985,0.11403183072330576,5.505819559593995,5,5
4,5000,4,30.426365450024605,0.1824165754304221,7.606591362506151,5,5
5,5000,4,44.295763571560386,0.41917061768003744,8.859152714312078,5,5
6,5000,4,58.806660167872906,0.5181158505683333,9.801110027978817,5,5
7,5000,4,79.03912238329649,0.9961379038134472,11.291303197613784,5,5
8,5000,4,101.45103459507227,0.6432056326698612,12.681379324384034,5,5
9,5000,4,123.07778768837451,0.49640644235248216,13.675309743152724,5,5
10,5000,4,149.76497770100832,0.4660982314930607,14.976497770100831,5,5
1,5000,5,1.6750484853982925,0.036056161179366435,1.6750484853982925,5,5
2,5000,5,7.039408890902996,0.09827145771382348,3.519704445451498,5,5
3,5000,5,16.990353666245937,0.24269227973505103,5.663451222081979,5,5
4,5000,5,31.85963160544634,0.5610650411938902,7.964907901361585,5,5
5,5000,5,52.489042691886425,0.7396516309497192,10.497808538377285,5,5
6,5000,5,68.92332682013512,0.5122104223664443,11.487221136689186,5,5
7,5000,5,89.31507215797902,0.759506928798732,12.759296022568432,5,5
8,5000,5,111.46918466836215,0.7391928711109816,13.933648083545268,5,5
9,5000,5,135.4476593911648,0.31550815476674626,15.049739932351644,5,5
10,5000,5,164.46762240231038,1.7962379727096414,16.44676224023104,5,5
1,10000,1,2.2991602942347527,0.017311901740699753,2.2991602942347527,5,5
2,10000,1,8.09011056870222,0.13634153407568889,4.04505528435111,5,5
3,10000,1,19.45141772329807,0.29877243958423055,6.4838059077660235,5,5
4,10000,1,33.0760062918067,0.14784676412525946,8.269001572951675,5,5
5,10000,1,50.70358406454325,0.2407791550553854,10.14071681290865,5,5
6,10000,1,69.60134114176034,0.18645233725366156,11.600223523626724,5,5
7,10000,1,93.80579845011235,0.1072376882160713,13.40082835001605,5,5
8,10000,1,121.86175576597452,0.20199854595417172,15.232719470746815,5,5
9,10000,1,151.19091953039168,0.47923755010503366,16.79899105893241,5,5
