avg_rules_per_second,avg_time_per_rule,avg_wall_time,parallel_rules,std_rules_per_second,std_time_per_rule,std_wall_time,total_rules,total_walkers,total_wall_time,walkers_per_noise
4.976132013656009,0.20095929875969887,8.038371950387955,1.0,0.0,0.0,0.0,40.0,11000.0,8.038371950387955,1000.0
5.71502426261968,0.17497738488018513,6.999095395207405,2.0,0.0,0.0,0.0,40.0,11000.0,6.999095395207405,1000.0
6.2305686537403036,0.16049899384379387,6.419959753751755,5.0,0.0,0.0,0.0,40.0,11000.0,6.419959753751755,1000.0
6.500938226181519,0.15382395051419734,6.152958020567894,10.0,0.0,0.0,0.0,40.0,11000.0,6.152958020567894,1000.0
6.6244506834107435,0.15095591284334658,6.038236513733864,20.0,0.0,0.0,0.0,40.0,11000.0,6.038236513733864,1000.0
6.656267118825061,0.15023435540497304,6.009374216198921,40.0,0.0,0.0,0.0,40.0,11000.0,6.009374216198921,1000.0
0.9833873166266616,1.0168933268636464,40.67573307454586,1.0,0.0,0.0,0.0,40.0,110000.0,40.67573307454586,10000.0
1.005081406786611,0.9949442833662033,39.79777133464813,2.0,0.0,0.0,0.0,40.0,110000.0,39.79777133464813,10000.0
1.013585593235914,0.9865965012460947,39.46386004984379,5.0,0.0,0.0,0.0,40.0,110000.0,39.46386004984379,10000.0
0.9904877563776122,1.0096035953611135,40.38414381444454,10.0,0.0,0.0,0.0,40.0,110000.0,40.38414381444454,10000.0
1.0263443898529006,0.9743318226188421,38.973272904753685,20.0,0.0,0.0,0.0,40.0,110000.0,38.973272904753685,10000.0
1.0174784399874444,0.9828218080103397,39.31287232041359,40.0,0.0,0.0,0.0,40.0,110000.0,39.31287232041359,10000.0
